@id,name,highway
59434332,Dunvant Road,tertiary
59434334,Goetre Fach Road,tertiary
59434335,Hendrefoilan Road,residential
59434345,Wimmerfield Drive,tertiary
59434351,Goetre Fawr Road,secondary
80280827,Saint Christopher Drive,residential
81025226,Heaselands Place,residential
81025229,Pentre Banadl,residential
96001056,Eliot Close,residential
96001061,Clos Cynan,residential
96001066,Ffordd Dryden,residential
96001068,Ffordd Dryden,residential
96001079,Ffordd Dryden,residential
96001096,Ffordd Dryden,residential
96001113,Ffordd Dryden,residential
96001114,Clos Cynan,residential
96001122,Ffordd Dryden,residential
96001131,Ffordd Dryden,residential
96001133,Ffordd Dryden,residential
96001143,Ffordd Dryden,residential
96001159,Lon Alfa,residential
96001178,Killay Precinct,pedestrian
96001180,Ffordd Dryden,residential
96001187,Tennyson Way,residential
116907962,Clos Islwyn,residential
116907966,Cowper Close,residential
116907968,Clos Islwyn,residential
116907979,Cowper Close,residential
129446923,Cowper Close,residential
130148135,Oakdene,residential
130149038,Kennington Close,residential
130149039,St Hilary Drive,residential
130149040,Kennington Close,residential
130149041,St David Drive,residential
130149042,St David Drive,residential
132734345,Millwood Gardens,residential
132734349,Millwood Gardens,residential
132734363,Millwood Gardens,residential
132734380,Millwood Gardens,residential
132816040,Dylan Close,residential
132817722,Hafan Y Don,residential
132817734,Hafan Y Don,residential
135648751,Gower Road,primary
136229829,Gower Road,primary
240431460,Coleridge Crescent,residential
833625241,Gower Road,primary
833625242,Gower Road,primary
884826544,Ffordd yr Olchfa,residential
884826545,Ffordd yr Olchfa,residential
884826546,Gower Road,primary
884826547,Gower Road,primary
884832564,Clos Coed Collings,residential
916580600,Gower Road,primary
916580602,Gower Road,primary
920216666,Gower Road,primary
920216667,Gower Road,primary
920233617,Dunvant Road,unclassified
920233618,Dunvant Road,unclassified
920233630,Hendrefoilan Drive,residential
922255652,Goetre Fach Road,tertiary
922255665,Wimmerfield Drive,tertiary
935004115,Ridgeway,tertiary
935004116,Woodcote,residential
1052559914,Ffordd yr Olchfa,residential
